year,scientific_name,functional_group,Landed value (tonnes)
2005,Callista chione,Other demersal invertebrates,71.7021018
2005,Acanthocardia tuberculata,Other demersal invertebrates,95.6028024
2006,Miscellaneous aquatic invertebrates,Other demersal invertebrates,58.9269451
2006,Elasmobranchii,Large sharks (>=90 cm),235.7077804
2006,Bivalvia,Other demersal invertebrates,235.7077804
2006,Pteriomorphia,Other demersal invertebrates,41.61566864
2006,Scombroidea,Large pelagics (>=90 cm),883.9041764
2006,Soleidae,Small to medium flatfishes (<90 cm),58.9269451
2006,Palinuridae,"Lobsters, crabs",883.9041764
2006,Epinephelus,Medium reef assoc. fish (30 - 89 cm),471.4155608
2006,Pagellus,Medium benthopelagics (30 - 89 cm),58.9269451
2006,Loligo,Cephalopods,58.9269451
2006,Sepia,Cephalopods,294.6347255
2006,Donax,Other demersal invertebrates,5.94509552
2006,Dicentrarchus labrax,Large demersals (>=90 cm),58.9269451
2006,Conger conger,Large demersals (>=90 cm),589.269451
2006,Argyrosomus regius,Large benthopelagics (>=90 cm),58.9269451
2006,Mullus surmuletus,Medium demersals (30 - 89 cm),824.9772313
2006,Diplodus vulgaris,Medium benthopelagics (30 - 89 cm),58.9269451
2006,Chamelea gallina,Other demersal invertebrates,101.0666238
2006,Callista chione,Other demersal invertebrates,62.42350296
2006,Acanthocardia tuberculata,Other demersal invertebrates,83.23133728
2007,Miscellaneous aquatic invertebrates,Other demersal invertebrates,57.23323632
2007,Elasmobranchii,Large sharks (>=90 cm),228.9329453
2007,Bivalvia,Other demersal invertebrates,228.9329453
2007,Pteriomorphia,Other demersal invertebrates,35.68136684
2007,Scombroidea,Large pelagics (>=90 cm),858.4985448
2007,Soleidae,Small to medium flatfishes (<90 cm),57.23323632
2007,Palinuridae,"Lobsters, crabs",858.4985448
2007,Epinephelus,Medium reef assoc. fish (30 - 89 cm),457.8658906
