Specie (common name;Specie (latin name);Functional group;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Striped venus ;Chamelea gallina;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
White grouper;Epinephelus aeneus;Medium demersals;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.1-0.33;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7;0.33-2.7
Albacore ;(thunnus alalunga);Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.16;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
Angular roughshark ;(Oxynotus centrina);Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.17;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
Atlantic bluefin tuna ;(Thunnus thynnus);Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.18;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
Atlantic chub mackerel ;Scomber colias;Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.19;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
Atlantic sailfish ;Istiophorus albicans;Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.20;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
Brown ray;Raja miraletus;Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.21;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
European anchovy;Engraulis encrasicolus;Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.22;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
Flathead grey mullet;Mugil cephalus;Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.23;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
Gilthead seabream;Sparus aurata;Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.24;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
Lusitanian toadfish;Halobatrachus didactylus;Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.25;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
Saddleb seabream;Oblada melanura;Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.26;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
Splendid alfonsino;Beryx splendens;Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.27;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
West african geryon;Chaceon maritae;Medium pelagics;0.0042-0.011;0.0042-0.011;0.0042-0.011;0.011-0.025;0.0042-0.011;0.011-0.025;0.025-0.055;0.011-0.025;0.025-0.055;0.011-0.025;0.011-0.025;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.025-0.055;0.055-0.16;0.025-0.055;0.011-0.025;0.025-0.055;0.055-0.16;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.025-0.055;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.025-0.055;0.055-0.016;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.055-0.16;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6;0.16-2.6
Oilfish ;Ruvettus pretiosus;Medium reef assoc.fish;0.0025-0.0063;0.00071-0.0025;0.0025-0.0063;0.0025-0.0063;0.00071-0.0025;0.00071-0.0025;0.0025-0.0063;0.0025-0.0063;0.0025-0.0063;0.0025-0.0063;0.0025-0.0063;0.0025-0.0063;0.0025-0.0063;0.0025-0.0063;0.0025-0.0063;0.0025-0.0063;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025;0.00071-0.0025
Smallspotted catshark;Scyliorhinus canicula;Other demersal invertebrates;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.012-0.025;0.012-0.026;0.012-0.026;0.025-0.05;0.025-0.05;0.025-0.05;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.025-0.05;0.025-0.05;0.025-0.05;0.025-0.05;0.025-0.05;0.05-0.12;0.05-0.12;0.025-0.05;0.025-0.05;0.05-0.12;0.05-0.12
Stout beardfish;Polymixia nobilis;Other demersal invertebrates;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.012-0.025;0.012-0.026;0.012-0.026;0.025-0.05;0.025-0.05;0.025-0.05;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.025-0.05;0.025-0.05;0.025-0.05;0.025-0.05;0.025-0.05;0.05-0.12;0.05-0.12;0.025-0.05;0.025-0.05;0.05-0.12;0.05-0.12
Tope shark;Galeorhinus galeus;Other demersal invertebrates;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.0027-0.012;0.012-0.025;0.012-0.026;0.012-0.026;0.025-0.05;0.025-0.05;0.025-0.05;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.05-0.12;0.025-0.05;0.025-0.05;0.025-0.05;0.025-0.05;0.025-0.05;0.05-0.12;0.05-0.12;0.025-0.05;0.025-0.05;0.05-0.12;0.05-0.12
Blonde ray;Raja brachyura;Shrimps;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0013-0.0033;0.0013-0.0033;0.0013-0.0033;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0079-0.012;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0013-0.0033;0.0033-0.0079;0.0013-0.0033;0.0013-0.0033;0.0013-0.0033;0.012-0.021;0.0013-0.0033;0.0013-0.0033;0.0004-0.0013;0.0013-0.0033;0.0013-0.0033;0.0033-0.0079;0.0079-0.012;0.0033-0.0079;0.0013-0.0033;0.0033-0.0079;0.0033-0.0079;0.012-0.021;0.012-0.021;0.012-0.021;0.0079-0.012;0.0079-0.012;0.012-0.021;0.012-0.021;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16
Canary drum;Umbrina canariensis;Shrimps;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0013-0.0033;0.0013-0.0033;0.0013-0.0033;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0079-0.012;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0013-0.0033;0.0033-0.0079;0.0013-0.0033;0.0013-0.0033;0.0013-0.0033;0.012-0.021;0.0013-0.0033;0.0013-0.0033;0.0004-0.0013;0.0013-0.0033;0.0013-0.0033;0.0033-0.0079;0.0079-0.012;0.0033-0.0079;0.0013-0.0033;0.0033-0.0079;0.0033-0.0079;0.012-0.021;0.012-0.021;0.012-0.021;0.0079-0.012;0.0079-0.012;0.012-0.021;0.012-0.021;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16
Cunene horse mackerel;Trachurus trecae;Shrimps;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0013-0.0033;0.0013-0.0033;0.0013-0.0033;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0079-0.012;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0013-0.0033;0.0033-0.0079;0.0013-0.0033;0.0013-0.0033;0.0013-0.0033;0.012-0.021;0.0013-0.0033;0.0013-0.0033;0.0004-0.0013;0.0013-0.0033;0.0013-0.0033;0.0033-0.0079;0.0079-0.012;0.0033-0.0079;0.0013-0.0033;0.0033-0.0079;0.0033-0.0079;0.012-0.021;0.012-0.021;0.012-0.021;0.0079-0.012;0.0079-0.012;0.012-0.021;0.012-0.021;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16
Frigate tuna;Auxis thazard;Shrimps;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0013-0.0033;0.0013-0.0033;0.0013-0.0033;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0079-0.012;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0013-0.0033;0.0033-0.0079;0.0013-0.0033;0.0013-0.0033;0.0013-0.0033;0.012-0.021;0.0013-0.0033;0.0013-0.0033;0.0004-0.0013;0.0013-0.0033;0.0013-0.0033;0.0033-0.0079;0.0079-0.012;0.0033-0.0079;0.0013-0.0033;0.0033-0.0079;0.0033-0.0079;0.012-0.021;0.012-0.021;0.012-0.021;0.0079-0.012;0.0079-0.012;0.012-0.021;0.012-0.021;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16
Scalloped hammerhead;Sphyrna lewini;Shrimps;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0013-0.0033;0.0013-0.0033;0.0013-0.0033;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0079-0.012;0.0033-0.0079;0.0033-0.0079;0.0033-0.0079;0.0013-0.0033;0.0033-0.0079;0.0013-0.0033;0.0013-0.0033;0.0013-0.0033;0.012-0.021;0.0013-0.0033;0.0013-0.0033;0.0004-0.0013;0.0013-0.0033;0.0013-0.0033;0.0033-0.0079;0.0079-0.012;0.0033-0.0079;0.0013-0.0033;0.0033-0.0079;0.0033-0.0079;0.012-0.021;0.012-0.021;0.012-0.021;0.0079-0.012;0.0079-0.012;0.012-0.021;0.012-0.021;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16;0.021-0.16
