;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Species (common name);Species (latin name);Functional group;commercial group;Max length (cm);Trophic level;Depth range (m);Coord;Temperature (¨C);Vulnerability(%)
Scarlet shrimp;Plesiopenaeus edwardsianus;Shrimps;crustaceans;19;2.30;200-2000;45°N-35°S; 3.7 - 12.6;10
Knifetooth dogfish;Scymnodon ringens;Small  to medium sharks;Sharks and rays;88;3.88;550-1450;58°N-50°S;4.2 - 11.4;58
Saddleb seabream;Oblada melanura;Small benthopelagics;Perch-likes;27;3.03;-;44°N-15°S;17.8 - 27.7;43
African moonfish ;(selene dorsalis);Small demersals;Perch-likes;27;4.08;20-100;39°N-28°S;18.3 - 25.9;25
Boarfish;Capros aper;Small demersals;Other fishes and inverts;23;3.14;40-700;62°N-10°S;6.9 - 15;51
Longspine snipefish;Macroramphosus scolopax;Small demersals;Other fishes and inverts;16;3.47;25-600;66°N-43°S;6.5 - 22.7;27
European anchovy;Engraulis encrasicolus;Small pelagics;Anchovies;20;3.11;0-400;62°N-37°S;7.1 - 18;25
European pilchard;Sardina pilchardus;Small pelagics;Herring-likes;28;3.06;10-100;68°N-15°S;7.1 - 17.3;27
Round sardinelle;Sardinella aurita;Small pelagics;Herring-likes;29;3.40;0-350;46°N-36°S;13.3 - 26.3;37
Common sole;Solea solea;Small to medium flatfishes;Flatfishes;70;3.21;0-150;65°N-5°S;9.0 - 20 ;36
Megrim;Lepidorhombus whiffiagonis;Small to medium flatfishes;Flatfishes;50;4.34;100-700;69°N-26°S;6.3 - 11.4;62
Wedge sole;Dicologlossa cuneata;Small to medium flatfishes;Flatfishes;30;3.32;10-460;47°N-32°S;12.5 - 27.6;31
Brown ray;Raja miraletus;Small to medium rays;Sharks and rays;52;3.80;17-462;44°N-35°S;13.1 - 25.6;51
Undulate ray;Raja undulata;Small to medium rays;Sharks and rays;82;3.50;50-200;53°N-15°S;9.8 - 17.1;63
Blackmouth catshark ;Galeus melastomus;Small to medium sharks;Sharks and rays;74;4.17;55-1873;64°N-14°S;4.4 - 14.4;57
Smallspotted catshark;Scyliorhinus canicula;Small to medium sharks;Sharks and rays;82;3.82;10-780;63°N-12°S;7.2 - 16.2;62
